Attendance,Internal_Marks,Assignment_Score,Study_Hours,Previous_Performance,Result
90,85,88,5,80,Pass
75,60,65,2,55,Fail
95,92,90,6,88,Pass
60,50,55,1,45,Fail
85,78,82,4,75,Pass
70,65,60,2,58,Fail
92,88,85,5,90,Pass
80,72,70,3,68,Pass
55,45,50,1,40,Fail
88,82,80,4,78,Pass
68,58,62,2,52,Fail
96,94,93,7,91,Pass
82,75,76,4,72,Pass
65,55,58,1,48,Fail
91,86,89,5,84,Pass
72,62,64,2,57,Fail
87,80,83,4,79,Pass
58,48,52,1,42,Fail
94,90,92,6,89,Pass
78,68,70,3,65,Pass
63,52,56,1,47,Fail
89,84,86,5,82,Pass
74,64,67,2,59,Fail
97,95,94,7,93,Pass
83,77,79,4,74,Pass
69,57,61,2,51,Fail
93,89,91,6,87,Pass
76,66,68,3,63,Pass
57,46,49,1,39,Fail
86,79,81,4,77,Pass
71,61,63,2,56,Fail
90,87,88,5,85,Pass
67,56,59,1,50,Fail
98,96,95,8,94,Pass
81,73,75,3,70,Pass
61,51,54,1,44,Fail
88,83,84,5,81,Pass
73,63,66,2,60,Fail
95,91,92,6,90,Pass
79,70,72,3,67,Pass
59,49,53,1,43,Fail
84,76,78,4,73,Pass
66,54,57,2,49,Fail
92,88,90,6,86,Pass
77,67,69,3,64,Pass
54,44,48,1,38,Fail
87,81,82,5,80,Pass
70,59,62,2,53,Fail
96,93,94,7,92,Pass
85,78,80,4,76,Pass
